Year,AWI,Wage.cap,First.bend,Second.bend,COLA,FRA,Claim.62,Claim.63,Claim.64,Claim.65,Claim.66,Claim.67,Claim.68,Claim.69,Claim.70
1924,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.03,1.06,1.09,1.12,1.15
1925,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.04,1.07,1.11,1.14,1.18
1926,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.04,1.07,1.11,1.14,1.18
1927,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.04,1.08,1.12,1.16,1.2
1928,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.04,1.08,1.12,1.16,1.2
1929,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.05,1.09,1.14,1.18,1.23
1930,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.05,1.09,1.14,1.18,1.23
1931,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.05,1.1,1.15,1.2,1.25
1932,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.05,1.1,1.15,1.2,1.25
1933,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.06,1.11,1.17,1.22,1.28
1934,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.06,1.11,1.17,1.22,1.28
1935,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.06,1.12,1.18,1.24,1.3
1936,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.06,1.12,1.18,1.24,1.3
1937,NA,NA,NA,NA,NA,65,0.8,0.87,0.94,1,1.07,1.13,1.2,1.26,1.33
1938,NA,NA,NA,NA,NA,65.2,0.79,0.86,0.92,0.99,1.05,1.12,1.18,1.25,1.31
1939,NA,NA,NA,NA,NA,65.3,0.78,0.84,0.91,0.98,1.05,1.12,1.19,1.26,1.33
1940,NA,NA,NA,NA,NA,65.5,0.78,0.83,0.9,0.97,1.04,1.11,1.18,1.25,1.32
1941,NA,NA,NA,NA,NA,65.7,0.77,0.82,0.89,0.96,1.03,1.11,1.18,1.26,1.33
1942,NA,NA,NA,NA,NA,65.8,0.76,0.81,0.88,0.94,1.02,1.09,1.17,1.24,1.32
1943,NA,NA,NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1944,NA,NA,NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1945,NA,NA,NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1946,NA,NA,NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1947,NA,NA,NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1948,NA,NA,NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1949,NA,NA,NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1950,NA,NA,NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1951,"2,799.16","3,600",NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1952,"2,973.32","3,600",NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1953,"3,139.44","3,600",NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1954,"3,155.64","3,600",NA,NA,NA,66,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24,1.32
1955,"3,301.44","4,200",NA,NA,NA,66.2,0.74,0.79,0.86,0.92,1,1.08,1.16,1.24,1.32
1956,"3,532.36","4,200",NA,NA,NA,66.3,0.73,0.78,0.84,0.91,0.99,1.07,1.15,1.23,1.31
1957,"3,641.72","4,200",NA,NA,NA,66.5,0.73,0.78,0.84,0.9,0.98,1.06,1.14,1.22,1.3
1958,"3,673.80","4,200",NA,NA,NA,66.7,0.72,0.77,0.82,0.89,0.97,1.05,1.13,1.21,1.29
1959,"3,855.80","4,800",NA,NA,NA,66.8,0.71,0.76,0.81,0.88,0.96,1.04,1.12,1.2,1.28
1960,"4,007.12","4,800",NA,NA,NA,67,0.7,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24
1961,"4,086.76","4,800",NA,NA,NA,67,0.7,0.75,0.8,0.87,0.93,1,1.08,1.16,1.24
